"Quiet, Clean and Peaceful. Very Nice RENOVATIONS",No address,$1033,https://atlanta.craigslist.org/sat/apa/d/morrow-quiet-clean-and-peaceful-very/7116387303.html
"Stainless Steel Appliances, Clubroom w/ Billiards, Internet Cafe",50 Evergreen Way,$1252,https://atlanta.craigslist.org/wat/apa/d/rex-stainless-steel-appliances-clubroom/7112709953.html
HUGE THREE BEDROOM TOWNHOME ! PERFECT BROOKHAVEN LOCATION,No address,$1998,https://atlanta.craigslist.org/atl/apa/d/atlanta-huge-three-bedroom-townhome/7114748527.html
Beautiful 3 Bedroom/2 Bath in Peachtree Corners,Westchase Village Ln near Elmside Village Ln NW,$1399,https://atlanta.craigslist.org/nat/apa/d/duluth-beautiful-3-bedroom-2-bath-in/7110158289.html
Cozy 3BR / 2 Ba 1382 sqft2 available now @ $1000 Monthly!,1644 Kimble Dr SW,$1000,https://atlanta.craigslist.org/atl/apa/d/marietta-cozy-3br-2-ba-1382-sqft2/7118815866.html
$699 Move-in Special! Current month Rent is Free!,No address,$959,https://atlanta.craigslist.org/atl/apa/d/atlanta-699-move-in-special-current/7118791984.html
Lovely 3 Bedroom Apartment,7120 South Lake Pkwy,$1335,https://atlanta.craigslist.org/sat/apa/d/morrow-lovely-3-bedroom-apartment/7112996975.html
"Roommate Wanted - 3 BR, 2 BA",No address,$550,https://atlanta.craigslist.org/atl/apa/d/avondale-estates-roommate-wanted-3-br-2/7118808643.html
"Black Kitchen Appliances, Business Center, Laundry Facilities",2050 Austell Rd NW,$1123,https://atlanta.craigslist.org/wat/apa/d/marietta-black-kitchen-appliances/7113452078.html
"Private Patio or Balcony, Pet Park, En Suites",3156 Mt Zion Rd,$1321,https://atlanta.craigslist.org/wat/apa/d/stockbridge-private-patio-or-balcony/7109894080.html
Three bedroom WEST MIDTOWN HOT SPOT,No address,$2850,https://atlanta.craigslist.org/atl/apa/d/atlanta-three-bedroom-west-midtown-hot/7118794594.html
Experience the [Windsor Landing] Lifestyle,7120  Southlake Pkwy,$1335,https://atlanta.craigslist.org/sat/apa/d/morrow-experience-the-windsor-landing/7112602667.html
"Handicap accessible, Storage space, Brushed nickel lighting fixtures",100 Legacy Oaks Circle,$1525,https://atlanta.craigslist.org/nat/apa/d/roswell-handicap-accessible-storage/7115405776.html
